"食品分類","資料類別","整合編號","樣品名稱","俗名","樣品英文名稱","內容物描述","廢棄率","P/M/S","α-生育酚","α-維生素E當量(α-TE)","α-胡蘿蔔素","β-生育酚","β-胡蘿蔔素","γ-生育酚","δ-生育酚","丙胺酸(Ala)","乳糖","亞麻油酸(18:2)","修正熱量","其他脂肪酸","十七酸(17:0)","十三酸(13:0)","十九酸(19:0)","十五酸(15:0)","十八碳四烯酸(18:4)","半乳糖","反式脂肪","天門冬胺酸(Asp)","山酸(22:0)","己酸(6:0)","廿二碳五烯酸(22:5)","廿二碳六烯酸(22:6)","廿四酸(24:0)","廿碳五烯酸(20:5)","月桂酸(12:0)","果糖","棕櫚烯酸(16:1)","棕櫚酸(16:0)","次亞麻油酸(18:3)","水分","水解胺基酸總量","油酸(18:1)","灰分","熱量","甘胺酸(Gly)","甲硫胺酸(Met)","異白胺酸(Ile)","癸酸(10:0)","白胺酸(Leu)","硬脂酸(18:0)","磷","視網醇","視網醇當量(RE)","粗脂肪","粗蛋白","精胺酸(Arg)","糖質總量","組胺酸(His)","絲胺酸(Ser)","維生素A總量(IU)","維生素B1","維生素B12","維生素B2","維生素B6","維生素C","維生素D2","維生素D3","維生素D總量(IU)","維生素D總量(ug)","維生素E總量","維生素K1","維生素K2(MK-4)","維生素K2(MK-7)","總碳水化合物","纈胺酸(Val)","肉豆蔻烯酸(14:1)","肉豆蔻酸(14:0)","胱胺酸(Cys)","脂肪酸M總量","脂肪酸P總量","脂肪酸S總量","脯胺酸(Pro)","膳食纖維","膽固醇","色胺酸(Trp)","芥子酸(22:1)","花生油酸(20:4)","花生酸(20:0)","苯丙胺酸(Phe)","菸鹼素","葉酸","葡萄糖","蔗糖","辛酸(8:0)","酒精含量","酥胺酸(Thr)","酪胺酸(Tyr)","酪酸(4:0)","鈉","鈣","鉀","銅","鋅","錳","鎂","鐵","離胺酸(Lys)","飽和脂肪","鱈烯酸(20:1)","麥芽糖","麩胺酸(Glu)"
"蔬菜類","樣品基本資料","E7500602","朝天椒(長果)","辣椒,番椒,番仔薑,臘椒,指(向)天椒,赤穗生番椒,叢果番椒,海椒","Hot pepper; Pepper; Red cluster pepper","生鮮,紅辣椒,去蒂,混合均勻打碎",7.3,0,4.35,4.48,0,0.08,9240,0.86,0,118,0,446,64,0,0,0,0,0,0,0,0,392,30,0,0,0,22,0,22,1.7,0,340,118,76,2532,218,1.3,90,134,27,93,0,170,62,89,0,1540,1.3,3.4,184,2.8,58,132,15399,0.15,0,0.28,0.93,171.5,0,0,0,0,5.29,0,0,0,17.9,111,0,56,51,231,564,554,104,13.9,0,29,0,0,21,119,3.66,31.5,1.2,0,0,0,108,90,0,3,15,564,0.035,0.7,0,44,1,138,0.6,13,0,472
"蔬菜類","樣品基本資料","E7500502","長辣椒(青皮)","辣椒,番椒,番仔薑,臘椒","Hot pepper; Long pepper; Pepper","生鮮,青辣椒,去蒂頭,混合均勻打碎",1.4,0,0.96,1.03,0,0.09,194,0.2,0.01,0,0,227,41,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,3,114,48,86.6,0,25,0.7,49,0,0,0,0,0,18,32,0,32,0.4,1.9,0,2.4,0,0,323,0.09,0,0.1,0.37,153.2,0,0,0,0,1.26,0,0,0,10.3,0,0,3,0,28,275,141,0,4.1,0,0,0,0,3,0,1.82,0,1.3,0,0,0,0,0,0,3,14,277,0,0.3,0,18,0.5,0,0.1,0,0,0
"魚貝類","樣品基本資料","J0200201","雙髻鯊","丫髻鯊(鮫),犛頭沙,雙髻鯊,雙過仔","Hammerhead; Hammerhead shark","生,去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎",62.2,0,0,0,0,0,0,0,0,1147,0,0,117,0,0,0,0,0,0,0,0,1975,0,0,15,0,0,3,0,0,1,15,0,73.6,19336,10,1.4,117,873,446,1071,0,1666,8,259,82,82,0.1,27.4,1282,0,529,706,274,0.02,1.79,0.07,0.52,1.7,0,0,0,0,0,0,0,0,0,1026,0,0,477,15,21,23,655,0,58,263,3,4,0,864,6.9,8.6,0,0,0,0,911,725,0,83,4,492,0,0.6,0,32,0.8,1795,0,1,0,2926
"蔬菜類","樣品基本資料","E6600101","隼人瓜","佛手(掌)瓜,香櫞瓜,梨瓜,萬年瓜,拳頭瓜,菜餚梨瓜,瓦瓜","chayote，christophine，vegetable pear","生鮮,去皮及子,混合均勻打碎",13,0,0.03,0.03,0,0,5,0,0,25,0,0,20,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,1.4,0,0,0,93.7,598,0,0.3,23,22,0,30,0,53,0,17,0,1,0.1,0.7,123,2.8,17,28,9,0.01,0,0.02,0.05,4.2,0,0,0,0,0.03,0,0,0,5.2,30,0,0,6,0,0,0,8,1.6,0,0,0,0,0,37,0.16,29,1.4,0,0,0,20,27,0,6,21,110,0.044,0.2,0,9,0.2,52,0,0,0,57
"蔬菜類","樣品基本資料","E7600101","黃秋葵","秋葵,羊角豆,黃蜀葵,食香槿,假三念,黃葵","okra， okro， bamia， bamies， bamya， gumbo","生鮮,去蒂,混合均勻打碎",10.6,0,0.27,0.3,0,0.04,1355,0.12,0.02,0,0,44,28,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1.1,0,43,18,89.8,0,6,0.5,36,0,0,0,0,0,0,53,0,226,0.1,2.1,0,2.6,0,0,2258,0.02,0,0.1,0.05,11.3,0,0,0,0,0.45,94.48,0,0,7.5,0,0,1,0,8,63,53,0,3.7,0,0,0,0,3,0,1.01,0,0.9,0.6,0,0,0,0,0,9,94,203,0,0.7,0,50,0.7,0,0.1,1,0,0
"蔬菜類","樣品基本資料","E8300101","綠豆芽","豆芽菜,豆菜,綠豆菜","Mung bean sprout; bean sprout; Green gram","生鮮,混合均勻打碎",NA,0,0.06,0.07,0,0,4,0.12,0.01,60,0,0,21,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0.7,0,0,0,93.1,1518,0,0.3,24,44,11,76,0,102,0,32,0,1,0.2,2.3,117,1.3,53,66,7,0.04,0,0.11,0.09,7.1,0,0,0,0,0.19,0,0,0,4.1,94,0,0,6,0,0,0,35,1.3,0,17,0,0,0,78,0.31,27.6,0.6,0,0,0,60,49,0,16,56,128,0.059,0.3,0,14,0.8,92,0,0,0,111
"蔬菜類","樣品基本資料","E8000101","黃豆芽","大豆芽","Soybean sprout:organic","生鮮,混合均勻打碎",NA,0,0.28,0.42,0,0.1,557,0.81,0.49,201,0,622,29,1,2,0,0,0,0,0,0,897,7,0,0,0,3,0,0,0.4,2,171,92,90.2,4092,230,0.7,34,153,33,181,0,304,55,61,0,93,1.2,5.4,302,0.4,125,217,928,0.06,0,0.07,0.23,7.3,0,0,0,0,1.68,0,0,0,2.5,195,0,2,43,231,714,246,143,2.7,0,39,0,0,5,204,0.41,111.2,0,0,0,0,158,135,0,7,52,296,0.084,0.5,0,27,0.8,228,0.2,0,0,533
"水果類","樣品基本資料","D1900203","黑美人西瓜","水瓜,寒瓜,夏瓜","Watermelon","生鮮,紅肉小瓜,去皮及籽,混合均勻打碎",45.9,0,0.04,0.04,0,0.01,169,0.01,0.01,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,89.7,0,0,0.2,36,0,0,0,0,0,0,15,0,28,0.1,0.9,0,8.9,0,0,281,0.05,0,0.02,0.13,6.5,0,0,0,0,0.06,0,0,0,9.1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.54,0,1.8,3.3,0,0,0,0,0,2,11,111,0,0.2,0,13,0.2,0,0,0,0,0
"糖類","樣品基本資料","N0300101","果糖","高果糖糖漿","Fructose","混合均勻(高果糖糖漿)",NA,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2,0,0,0,23.1,0,0,0,297,0,0,0,0,0,0,1,0,0,0,0,0,67.4,0,0,0,0,0,0.05,0,1,0,0,0,0,0,0,0,0,76.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.3,0,0,0,0,0,0,1,0,0,0.2,0,0,0,0,0,0,0.9,0
"堅果及種子類","樣品基本資料","C1750401","蛋酥花生仁","土豆,長生果,落花生","Peanut","熟,含膜,混合均勻打碎(花生仁,蛋,糖,植物油等)",NA,0,3.72,4.01,0,0,2,2.95,0,948,0,15542,592,0,0,0,0,0,0,0,0,2805,998,0,0,0,518,0,25,0,31,7750,38,1.3,22328,16918,2,606,1291,105,778,0,1518,1110,348,0,0,43.8,21.1,1937,0,590,1156,3,0.28,0,0.07,0.75,3.9,0,0,0,0,6.67,0,0,0,31.8,978,0,98,560,17349,15580,10910,1094,7.3,0,233,0,0,411,1177,10.72,85,0,0,0,0,638,947,0,45,56,464,0,3,0,153,0.5,707,10.9,400,0,4869
"糖類","樣品基本資料","N0200101","麥芽糖","","Maltose","混合均勻",NA,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
"蔬菜類","樣品平均值","E74004","小番茄平均值(紅色系)","柑仔蜜,甘仔(阿)蜜,草柿,臭柿仔,西紅柿,小金瓜,番柿,六月柿,洋柿(茄)子,紅茄,毛臘果","Tomato","生鮮,紅色系小果,去蒂頭,數粒混合均勻打碎",0.9,0,0.6,0.63,0,0,6976,0.31,0.02,0,0,13,30,3,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,2.7,5,69,8,90.9,0,40,0.6,33,0,0,0,0,0,10,24,0,1163,0.2,0.9,0,5.1,0,0,11626,0.07,0,0.05,0.2,43.5,0,0,0,0,0.93,2.62,0,0,7.4,0,0,3,0,50,22,103,0,1.7,0,0,0,0,6,0,0.6,0,2.4,0,0,0,0,0,0,6,14,269,0,0.2,0,11,0.8,0,0.1,5,0,0
"菇類","樣品平均值","G08101","乾香菇平均值","冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈","Mushroom: dry; Champignon: dry; Shiitake: dry","生,乾貨,混合均勻打碎",0,0,0.01,0.01,0,0,1,0,0,872,0,1198,250,5,0,0,0,5,0,0,0,1383,0,0,0,0,4,0,1,1.8,7,216,2,8.2,14337,91,4.5,321,748,412,684,0,994,26,556,0,0,1.6,20.9,850,4.8,358,750,2,0.61,0.28,2.07,0.94,2.5,0,0,0,0,0.01,0,0,0,64.9,743,0,4,313,101,1200,258,604,37.1,0,149,1,0,0,617,21.52,289.7,2.4,0,1,0,731,492,0,9,31,2016,0.259,6.7,0,118,3.6,883,0.3,2,0.6,2755
"飲料類","樣品基本資料","O0700401","咖啡(三合一)","咖啡牛奶","Coffee drink","瓶裝,混合均勻(咖啡,牛奶,蔗糖,乳化劑等)",NA,0,0.05,0.05,0,0,5,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3,0,0,0.3,39,0,0,0,0,0,0,21,12,13,0.3,0.9,0,0,0,0,49,0.01,0,0.07,0.24,0,0,0,0,0,0.05,0,0,0,8.2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.86,3,0,0,0,0,0,0,0,25,30,75,0,0.1,0,6,0.1,0,0,0,0,0
"飲料類","樣品基本資料","O0700701","紅茶(蘋果)","水果茶","","罐裝,混合均勻(紅茶,砂糖等)",NA,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.8,0,0,0.1,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,1,0,0,0,0,0,0,0,5,1,24,0,0,0,1,0.1,0,0,0,0,0
"穀物類","樣品基本資料","A0550801","保久米漿","","","常溫包裝,混合均質(米,花生,水,砂糖等)",NA,0,0.82,0.85,0,0.01,0,0.21,0,0,0,545,61,0,1,0,0,0,0,0,0,0,44,0,0,0,18,0,0,0,0,183,3,86,0,562,0.2,62,0,0,0,0,0,64,31,0,0,1.5,1,0,10,0,0,0,0,0,0.01,0.05,0,0,0,0,0,1.04,0,0,0,11.3,0,0,2,0,575,548,334,0,0.7,0,0,0,0,22,0,0.45,9.7,0,10,1,0,0,0,0,21,5,24,0,0.4,0,8,0.1,0,0.3,12,0,0
"飲料類","樣品基本資料","O0701601","奶茶(三合一)","","Milk tea","瓶裝,混合均勻(紅茶,牛奶,糖等)",NA,0,0.04,0.04,0,0,0,0,0,0,0,6,42,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,3,80,0,89.7,0,46,0.2,42,0,0,0,8,0,29,18,6,6,0.3,0.5,0,0,0,0,19,0.01,0,0.05,0.02,0,0,0,0,0,0.04,0,0,0,9.5,0,0,30,0,50,6,194,0,0,0,0,0,0,0,0,0.5,2,0,0,3,0,0,0,30,18,11,35,0,0.1,0,2,0.1,0,0.2,0,0,0
"水果類","樣品基本資料","D3400303","圓果金柑汁(綠皮)","金桔,金橘,桔子","Kumquat juice; Round kumquat juice","生鮮,綠皮,數粒榨汁,混合均勻",32.3,0,0.8,0.83,0,0.03,0,0.13,0,0,0,17,30,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0.5,2,24,4,90.6,0,16,0.5,32,0,0,0,0,0,2,20,0,0,0.1,0.9,0,1.4,0,0,0,0.05,0,0.02,0.11,44.9,0,0,0,0,0.96,0,0,0,8,0,0,0,0,17,21,32,0,1.4,0,0,0,0,2,0,0.34,0,0.5,0.3,0,0,0,0,0,1,37,165,0,0.4,0,17,0.6,0,0,0,0,0
"水果類","樣品基本資料","D3200102","翠玉青蘋果","柰,林檎,沙果,海棠,花紅,檳子(翡翠,青玉,史蜜斯)","Apple","生鮮,青皮,去皮及核,混合均勻打碎",21,0,0.06,0.07,0,0.01,32,0.01,0.01,0,0,36,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.6,2,29,5,87.1,0,51,0.2,46,0,0,0,3,0,17,9,0,5,0.1,0.3,0,9.6,0,0,54,0.09,0,0.01,0.03,3.4,0,0,0,0,0.09,0,0,0,12.2,0,0,3,0,53,41,55,0,1.7,0,0,0,0,0,0,0.15,0,2.8,1.3,0,0,0,0,0,3,3,102,0,0.2,0,3,0.2,0,0.1,0,0,0
"飲料類","樣品基本資料","O0200201","仙草蜜","","","罐裝,混合均質(仙草、蜂蜜等)",NA,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0.2,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,13,15,0,0.1,0,2,0.4,0,0,0,0,0
"加工調理食品及其他類","樣品基本資料","R9901101","雞精","","","瓶裝,混合均質",NA,0,0,0,0,0,0,0,0,620,0,0,34,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,90.9,7054,0,0.5,34,1229,106,170,0,383,0,17,0,0,0,8.6,531,0,189,249,0,0,0.12,0.11,0.08,0.2,0,0,0,0,0,0,0,0,0,200,0,0,102,0,0,0,710,0,0,11,0,0,0,176,4.28,6.2,0,0,0,0,216,107,0,86,2,184,0,0.1,0,5,0.1,422,0,0,0,1071
"飲料類","樣品基本資料","O0901701","可可粉","","Cocoa powder","罐裝,混合均勻",NA,0,0.46,1.13,15,0.24,45,5.41,0.21,680,0,554,415,0,0,0,0,0,0,0,0,1557,47,0,0,0,27,0,0,0,50,5852,39,2.3,13332,7503,10.3,464,633,47,499,0,845,8473,780,0,9,22.8,20.8,927,0,256,695,87,0.03,0,0.14,0.72,0,0,0,0,0,6.32,0,0,0,43.8,778,0,17,336,7553,593,14694,935,24.7,0,95,0,0,279,636,2.27,32.9,0,0,0,0,647,518,0,26,166,5477,0,6.2,0,452,13.9,539,14.7,0,0,2710
"蔬菜類","樣品基本資料","E0300101","根菾菜根","甜菜根,火焰菜根","Beet, Beetroot","生鮮,去皮,混合均勻打碎",10.5,0,0.03,0.04,0,0.02,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9,0,0,0.9,34,0,0,0,0,0,0,20,0,0,0.1,1.3,0,7.9,0,0,0,0.02,0,0.02,0.08,3.4,0,0,0,0,0.05,0,0,0,7.8,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0.42,0,0,7.9,0,0,0,0,0,146,14,294,0,0.2,0,14,0.2,0,0,0,0,0
"調味料及香辛料類","樣品基本資料","P1002501","甜辣醬","","","混合均勻(蕃茄,辣椒,糖,鹽,香菇汁等)",NA,0,0.71,0.85,24,0.29,219,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.5,0,0,5.5,116,0,0,0,0,0,0,17,0,38,0,1,0,0,0,0,384,0.03,0,0.04,0.13,0,0,0,0,0,1,0,0,0,28.1,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.46,10.9,0,0,0,0,0,0,0,1968,9,123,0,0.2,0,14,0.9,0,0,0,0,0
"調味料及香辛料類","樣品基本資料","P1002601","甜麵醬","","","混合均勻(黃豆,鹽,糖,麵粉,米,香辛料等)",NA,0,0.41,1.31,0,1.25,0,2.71,0,198,0,190,212,0,4,0,0,1,0,0,0,437,11,0,0,0,6,0,0,0,5,515,0,43.9,3749,1399,5.2,216,167,17,186,0,303,222,99,0,0,2.4,4.5,186,0,84,172,0,0.01,0,0.21,0.05,0,0,0,0,0,4.37,0,0,0,44,218,0,4,111,1415,190,785,198,1.7,0,19,0,0,22,202,0,10.2,0,0,0,0,147,98,0,1870,24,179,0,0.5,0,32,1.4,190,0.8,11,0,817
"水果類","樣品基本資料","D0800901","李林蕉(2012年取樣)","香蕉,芎蕉,弓蕉,甘蕉(牛角蕉,佛手蕉,美人蕉,樹蕉)","","生鮮,去皮,混合均勻打碎",39.7,0,0.29,0.29,0,0,47,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,68.3,0,0,1,111,0,0,0,0,0,0,33,0,8,0.1,1.5,0,18.9,0,0,78,0.05,0,0.06,0.27,8.3,0,0,0,0,0.29,0,0,0,29.2,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0.67,25.2,5.1,9.1,0,0,0,0,0,1,17,386,0,0.3,0,58,0.4,0,0,0,0,0
"水果類","樣品基本資料","D0801001","紅皮蕉(2012年取樣)","香蕉,芎蕉,弓蕉,甘蕉,蘋果蕉","banana","去皮,混合均勻打碎",36.3,0,0.2,0.23,0,0.07,0,0,0,0,0,85,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,16,120,53,73.4,0,12,1.1,93,0,0,0,0,0,5,19,0,0,0.3,1.3,0,19.4,0,0,0,0.06,0,0.05,0.62,6.6,0,0,0,0,0.26,0,0,0,24,0,0,0,0,28,138,125,0,2.1,0,0,0,0,0,0,1.37,0,7.8,3.8,0,0,0,0,0,0,8,376,0,0.4,0,34,0,0,0.1,0,0,0
"調味料及香辛料類","樣品基本資料","P1300601","桑葚果醬","","","麵包醬,混合均勻",NA,0,0.53,0.7,0,0.07,0,1.14,0.5,0,0,156,225,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,25.2,4,138,22,43.4,0,39,0.3,227,0,0,0,0,0,14,17,0,0,0.4,0.9,0,50.6,0,0,0,0.01,0,0.09,0.04,0,0,0,0,0,2.25,0,0,0,54.9,0,0,11,0,43,178,176,0,1.1,0,0,0,0,4,0,3.75,9.3,25.4,0,0,0,0,0,0,1,32,121,0,0.4,0,9,0.4,0,0.2,0,0,0
"水果類","樣品基本資料","D2100202","海頓芒果","檬果,檨仔,菴羅果","Mango","生鮮,西洋種,去皮及心,混合均勻打碎",NA,0,0,0,0,0,3200,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3,0,0,0.3,60,0,0,0,0,0,0,15,0,533,0.2,0.4,0,0,0,0,5333,0.01,0,0.04,0,16,0,0,0,0,0,0,0,0,15.7,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,4,6,120,0,0.2,0,10,0.2,0,0,0,0,0
"蔬菜類","樣品基本資料","E5100201","黃金菾菜","黃金火焰菜,君達菜,甜菜","Garden Beet;Table Beet;Swiss Chard;Spinach Beet;Chard;White Beet","生鮮,去蒂頭,混合均勻打碎",7.9,0,0.72,0.72,0,0,1338,0.01,0,123,0,31,14,0,0,0,0,0,0,0,0,208,5,0,0,0,5,0,0,0.2,0,67,68,93.4,1991,17,1.3,18,116,1,86,0,162,8,45,0,223,0.2,2.4,148,0.4,66,100,2229,0.07,0,0.14,0.13,5.1,0,0,0,0,0.73,0,0,0,2.6,119,0,0,9,17,99,85,82,2.4,0,32,0,0,0,120,0.3,54.7,0.3,0,0,0,97,74,0,77,45,445,0,0.6,0,56,0.8,153,0.1,0,0,294
"堅果及種子類","樣品基本資料","C1610202","黑芝麻(熟)(2022年取樣)","","Sesame: black","熟(烤),混合均勻打碎",0,0,0,1.95,0,0.14,10,18.77,0.11,1005,0,23407,561,11,36,0,0,0,0,0,8.96,1644,84,0,0,0,48,0,0,0,67,4863,176,1,18746,19760,5.4,591,1014,310,665,0,1380,2892,652,0,2,51.8,20.7,2524,0.6,456,906,17,0.22,0,0.18,0.51,0,0,0,0,0,19.01,0,0,0,21.1,908,0,0,276,19915,23583,8262,695,14.7,0,297,0,0,338,807,5.62,34,0,0.6,0,0,693,777,0,1,1251,539,1.416,6.2,2.055,385,9,514,8.3,88,0,3874
"菇類","樣品基本資料","G1300101","杏香菇","香微蘑,雪茸,帝王菇,平菇王","King Oyster Mushroom","生鮮,混合均勻打碎",NA,0,0,0,0,0,0,0,0,179,0,61,24,0,0,0,0,2,0,0,0,183,0,0,0,0,2,0,0,0,0,22,0,92,1918,48,0.5,26,127,24,107,0,148,5,71,0,0,0.1,2.7,15,0.7,67,97,0,0.17,0.04,0.25,0.13,0.3,0,0,0,0,0,0,0,0,4.6,168,0,1,17,50,61,33,85,1.4,0,14,2,0,2,108,7.27,25.3,0.7,0,0,0,118,85,0,2,0,228,0,0.9,0,12,0.4,129,0,0,0,247
"菇類","樣品基本資料","G0400101","雞腿菇","雞腿(蘑)菇,雞髀菇,墨水菇,一夜菇(毛頭鬼傘)","Lawyer's wig; Shappy mane mushroom; Shappy ink cap","生鮮,混合均勻打碎",NA,0,0,0,0,0,0,0,0,133,0,96,32,1,0,0,0,2,0,0,0,141,1,0,0,0,3,0,0,0,1,21,2,89.3,1495,9,1,36,88,13,84,0,120,2,98,0,0,0.1,2.1,84,2,42,81,0,0.07,0.15,0.25,0.13,0.2,0,0,0,0,0,0,0,0,7.5,117,0,2,23,10,98,31,63,2.1,0,3,0,0,0,20,5.06,15.2,2,0,0,0,87,31,0,11,2,449,0,0.5,0,13,0.7,102,0,0,0,263
"魚貝類","樣品基本資料","J0414802","鯖魚(炸)","","Mackerel","熟,去鱗,含皮,去骨刺及內臟,以100g沙拉油在180℃炸3分鐘",NA,0,2.35,2.94,0,0.33,0,3.91,1.21,1150,0,10862,555,0,0,0,0,0,2159,0,0,1930,0,0,395,4258,0,2698,0,0,1603,7154,2041,28.3,18580,8212,1,555,883,579,884,0,1564,1362,262,103,103,53.4,17.2,1260,0,454,726,342,0.14,3.91,0.31,0.23,0,0,0,0,0,7.8,0,0,0,0.1,933,0,3286,363,18706,22921,11803,645,0,51,260,5487,508,0,779,6.3,3,0,0,0,0,843,686,0,75,8,301,0,1.1,0,27,1.7,1768,11.8,3403,0,2872
"魚貝類","樣品基本資料","J0414808","鯖魚(煮)","","Mackerel","熟,去鱗,含皮,去骨刺及內臟,以100℃煮10分鐘",NA,0,0.98,0.98,0,0,0,0.04,0.02,859,0,576,375,0,0,0,0,0,2205,0,0,1429,0,0,421,4168,0,2705,0,0,1459,4778,621,49.3,14343,4568,0.8,375,722,442,665,0,1171,687,175,125,125,34.5,14.9,937,0,625,580,418,0.18,4.27,0.32,0.31,0,0,0,0,0,1.04,0,0,0,0.4,770,0,3036,317,14749,11247,8501,523,0,72,187,5272,552,0,598,4.98,6,0,0,0,0,658,543,0,51,6,211,0,1,0,20,1.8,1294,8.5,3450,0,2025
"魚貝類","樣品基本資料","J2101801","正櫻蝦(生)","櫻花蝦,花殼仔,櫻桃蝦,玫瑰蝦,火焰蝦","Sergestid shrimp","生,帶殼,混合均勻打碎",NA,0,1.4,1.4,0,0,0,0.02,0,1012,0,26,88,83,15,0,0,9,9,0,0,1189,16,0,9,192,5,148,1,0,114,259,16,79.3,12072,300,3,88,693,359,598,0,1062,79,330,0,0,1.3,17.9,348,0,287,412,0,0.08,2.49,0.08,0.09,0,0,0,0,0,1.41,0,0,0,0,586,0,25,120,431,403,416,626,0,180,118,3,4,8,595,1.95,74.7,0,0,0,0,575,537,0,386,760,246,0,1.3,0,80,1,1051,0.4,14,0,1903
"魚貝類","樣品基本資料","J2101901","正櫻蝦(熟)","櫻花蝦,花殼仔,櫻桃蝦,玫瑰蝦,火焰蝦","Sergestid shrimp","熟,帶殼,混合均勻打碎",NA,0,1.58,1.59,0,0,0,0.03,0,880,0,30,97,93,15,0,0,10,0,0,0,1471,19,0,10,216,6,162,0,0,111,270,18,76,14122,321,3.6,97,727,398,610,0,1128,85,326,0,0,1.4,19.6,1444,0,330,558,0,0.11,2.9,0.07,0.14,0,0,0,0,0,1.61,0,0,0,0,624,0,23,124,451,441,437,646,0,223,129,3,5,9,629,1.74,35.9,0,0,0,0,601,592,0,504,614,209,0,1.4,0,85,0.7,1144,0.4,15,0,2087
"魚貝類","樣品基本資料","J3200101","干貝(冷凍)","元貝,瑤柱","Scallop","生,冷凍包裝,混合均勻打碎",NA,0,0.24,0.24,0,0,0,0,0,666,0,101,57,1,1,0,0,0,0,0,0,1128,2,0,0,0,3,0,0,0,1,70,145,82.3,10441,39,3,57,571,315,469,0,965,7,686,0,0,0.4,12.7,901,0,192,473,0,0.01,3.83,0.02,1.19,0,0,0,0,0,0.24,0,0,0,1.7,463,0,1,61,41,247,85,254,0,38,46,0,1,1,367,0.42,9,0,0,0,0,468,409,0,949,6,51,0,0.5,0,11,0.3,864,0.1,1,0,1828
"澱粉類","樣品基本資料","B0700101","紅馬鈴薯(粉紅珍珠馬鈴薯)","洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄","Potato; White potato; Irish potato","生鮮,紅皮種,去皮,混合均勻打碎",15,0,0.05,0.09,0,0.1,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,83,0,0,1,66,0,0,0,0,0,0,50,0,0,0,1.6,0,2.4,0,0,0,0.06,0,0.02,0.2,5.7,0,0,0,0,0.14,0,0,0,14.4,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,1.84,18.2,1.1,0.3,0,0,0,0,0,2,7,492,0,0.5,0,21,0.5,0,0,0,0,0
