"食品分類","資料類別","整合編號","樣品名稱","俗名","樣品英文名稱","內容物描述","廢棄率","P/M/S","α-生育酚","α-維生素E當量(α-TE)","α-胡蘿蔔素","β-生育酚","β-胡蘿蔔素","γ-生育酚","δ-生育酚","丙胺酸(Ala)","乳糖","亞麻油酸(18:2)","修正熱量","其他脂肪酸","十七酸(17:0)","十三酸(13:0)","十九酸(19:0)","十五酸(15:0)","十八碳四烯酸(18:4)","半乳糖","反式脂肪","天門冬胺酸(Asp)","山酸(22:0)","己酸(6:0)","廿二碳五烯酸(22:5)","廿二碳六烯酸(22:6)","廿四酸(24:0)","廿碳五烯酸(20:5)","月桂酸(12:0)","果糖","棕櫚烯酸(16:1)","棕櫚酸(16:0)","次亞麻油酸(18:3)","水分","水解胺基酸總量","油酸(18:1)","灰分","熱量","甘胺酸(Gly)","甲硫胺酸(Met)","異白胺酸(Ile)","癸酸(10:0)","白胺酸(Leu)","硬脂酸(18:0)","磷","視網醇","視網醇當量(RE)","粗脂肪","粗蛋白","精胺酸(Arg)","糖質總量","組胺酸(His)","絲胺酸(Ser)","維生素A總量(IU)","維生素B1","維生素B12","維生素B2","維生素B6","維生素C","維生素D2","維生素D3","維生素D總量(IU)","維生素D總量(ug)","維生素E總量","維生素K1","維生素K2(MK-4)","維生素K2(MK-7)","總碳水化合物","纈胺酸(Val)","肉豆蔻烯酸(14:1)","肉豆蔻酸(14:0)","胱胺酸(Cys)","脂肪酸M總量","脂肪酸P總量","脂肪酸S總量","脯胺酸(Pro)","膳食纖維","膽固醇","色胺酸(Trp)","芥子酸(22:1)","花生油酸(20:4)","花生酸(20:0)","苯丙胺酸(Phe)","菸鹼素","葉酸","葡萄糖","蔗糖","辛酸(8:0)","酒精含量","酥胺酸(Thr)","酪胺酸(Tyr)","酪酸(4:0)","鈉","鈣","鉀","銅","鋅","錳","鎂","鐵","離胺酸(Lys)","飽和脂肪","鱈烯酸(20:1)","麥芽糖","麩胺酸(Glu)"
"水果類","樣品基本資料","D2000403","秋香洋香瓜","甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜,洋香瓜,網仔瓜,哈蜜瓜","Melon; Honeydew melon;","生鮮,網紋洋香瓜種,球形,黃皮橙肉系,去皮及籽,混合均勻打碎",44.8,0,0.02,0.03,0,0.02,450,0.02,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0.5,34,0,0,0,0,0,0,13,0,75,0,1,0,0,0,0,751,0.04,0,0.03,0.11,14.6,0,0,0,0,0.06,0,0,0,8.4,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,16,10,232,0,0.3,0,16,0.3,0,0,0,0,0
"水果類","樣品基本資料","D2000202","黃香瓜","甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜","Melon; Honeydew melon;","生鮮,東洋系脆瓜種,橢圓形,黃皮白肉系,去皮及籽,混合均勻打碎",27.6,0,0,0,0,0,120,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0.7,30,0,0,0,0,0,0,16,0,20,0.2,0.6,0,0,0,0,200,0.01,0,0.04,0.05,18,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,16,7,240,0,0.2,0,7,0.2,0,0,0,0,0
"魚貝類","樣品基本資料","J0410801","眼斑擬石首魚","紅鼓魚","Red drum","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎(購買時已去鱗及內臟)",53.2,0,0.22,0.23,0,0.01,0,0.02,0,992,0,165,95,0,0,0,0,5,11,0,0,1670,0,0,0,182,0,100,0,0,63,266,16,77,16256,228,1.2,95,924,494,781,0,1349,53,193,2,2,1.2,19.7,979,0,418,658,7,0.47,1.66,0.1,0.39,0.5,0,0,0,0,0.25,0,0,0,0.9,853,0,34,148,306,496,358,571,0,60,193,0,22,0,715,4.1,7,0,0,0,0,752,638,0,71,13,428,0,0.6,0,27,0.8,1500,0.4,14,0,2618
"魚貝類","樣品基本資料","J0402401","大西洋鮭魚(台灣養殖)","","Atlantic salmon","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",55.8,0,2.31,2.32,0,0,0,0.07,0.02,1273,0,306,155,82,16,0,0,25,40,0,0,2117,0,0,96,607,0,145,6,0.2,564,1120,75,71.9,20345,1993,1.2,155,1035,654,954,0,1727,248,226,33,33,6,23.6,1260,0.4,636,828,111,0.14,3.55,0.14,0.53,2.1,0,0,0,0,2.4,0,0,0,0,1082,0,253,210,2894,1343,1669,763,0,70,248,34,75,0,874,4.82,9.2,0.1,0,0,0,971,779,0,45,9,390,0,0.8,0,27,0,1818,1.7,303,0,3117
"水果類","樣品基本資料","D3800301","檸檬汁(黃皮)","","Lemon juice","生鮮,榨汁混合均勻",68,0,0.36,0.38,0,0.03,0,0,0,0,0,120,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,9,46,93,91.7,0,25,0.4,30,0,0,0,0,0,5,10,0,0,0.3,0.5,0,1.7,0,0,0,0.03,0,0.03,0.05,42.3,0,0,0,0,0.4,0,0,0,7.2,0,0,0,0,35,213,50,0,0.1,0,0,0,0,0,0,0.73,0,0.8,0.2,0,0,0,0,0,1,11,102,0,0.1,0,7,0,0,0.1,0,0,0
"水果類","樣品基本資料","D4130102","可可椰子汁(進口)","椰子汁,越王頭汁","Coconut juice; Coco palm juice; Coconut terr juice","生鮮,綠皮種,去蒂,倒出內部汁液混合均勻分裝",68.8,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,94.2,0,0,0.6,19,0,0,0,0,0,0,11,0,0,0,0.2,0,6.1,0,0,0,0.01,0,0.01,0.01,0.8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,5.5,2.2,1.8,0,0,0,0,0,16,16,241,0.034,0.1,0,12,0,0,0,0,0,0
"水果類","樣品基本資料","D4130101","可可椰子汁(屏東)","椰子汁,越王頭汁","Coconut juice; Coco palm juice; Coconut terr juice","生鮮,綠皮種,去蒂,倒出內部汁液混合均勻分裝",72.9,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.7,0,0,0.4,17,0,0,0,0,0,0,8,0,0,0,0.1,0,0,0,0,0,0,0,0.01,0,1.1,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,4,19,187,0,0.2,0,4,0,0,0,0,0,0
"豆類","樣品基本資料","H1200201","豌豆莢","荷仁(蓮/蘭)豆,花蓮豆,飛龍豆,青豆莢,胡(畢/宛/孫/丸/留)豆莢,戎菽","Pea; Garden pea","生鮮,去蒂頭,混合均勻打碎",8,0,0.17,0.19,115,0.02,134,0.09,0,116,0,41,34,35,0,0,0,0,0,0,0,390,3,0,0,0,3,0,0,0.1,0,43,14,89.2,2395,11,0.6,41,75,10,71,0,107,7,55,0,32,0.2,2.9,150,3.2,43,162,320,0.14,0,0.11,0.08,42.5,0,0,0,0,0.28,0,0,0,7.1,100,0,5,19,16,55,64,56,3.2,0,34,5,0,3,66,0.89,39.9,2.6,0.4,0,0,94,56,0,4,49,118,0.013,0.7,0,26,1,120,0.1,0,0,728
"豆類","樣品基本資料","H1200101","豌豆仁","荷仁(蓮/蘭)豆仁,花蓮豆仁,飛龍豆仁,青豆,胡(畢/宛/孫/丸/留)豆,戎菽","Pea; Garden pea; Sweet pea","生鮮,混合均勻打碎",NA,0,0.05,0.19,95,0,73,1.4,0.04,241,0,0,108,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,67.8,4506,0,0.9,123,190,29,201,0,356,0,147,0,20,0.3,9.2,552,0,101,232,200,0.21,0,0.1,0.14,8.6,0,0,0,0,1.49,0,0,0,21.7,230,0,0,25,0,0,0,179,7.5,0,68,0,0,0,214,1.29,0,0,0,0,0,215,181,0,3,39,372,0,1.4,0,50,2.1,340,0,0,0,687
"豆類","樣品基本資料","H1200501","冷凍豌豆仁","荷仁(蓮/蘭)豆仁,花蓮豆仁,飛龍豆仁,青豆,胡(畢/宛/孫/丸/留)豆,戎菽","Common peas: frozen; Edible podded pea: frozen","生,冷凍包裝,混合均勻打碎",NA,0,0.03,0.2,4,0.01,272,1.62,0.04,293,0,268,79,2,0,0,0,0,0,0,0,552,2,0,0,0,2,0,0,0.1,0,117,39,75.4,5131,143,0.7,96,223,41,213,0,402,21,94,0,46,0.6,6.1,580,3.8,113,261,457,0.39,0,0.11,0.12,22.3,0,0,0,0,1.69,0,0,0,17.1,243,0,8,48,148,307,152,189,8,0,58,3,0,1,241,1.82,43.3,0,3.7,0,0,236,173,0,21,35,225,0.005,0.9,0,29,1.7,380,0.2,2,0,886
"穀物類","樣品基本資料","A0500901","胚芽秈米(台中秈10號)","","Germ rice; Rice with germ; Milled rice with embryo","生,混合均勻磨碎",NA,0,0.69,0.81,0,0.08,11,0.77,0.19,458,0,709,357,1,1,0,0,0,0,0,0,690,7,0,0,0,7,0,0,0,2,455,27,12.3,7932,776,1.3,363,361,97,291,0,613,50,314,0,2,2.1,8.3,558,0.5,195,373,19,0.35,0,0.04,0.28,0,0,0,0,0,1.73,0,0,0,76.1,422,0,15,840,787,736,548,335,2.8,0,50,1,0,14,449,6.29,34.7,0,0.5,0,0,278,292,0,2,9,268,0,2.2,0,119,0.9,291,0.5,8,0,1340
