"食品分類","資料類別","整合編號","樣品名稱","俗名","樣品英文名稱","內容物描述","廢棄率","α-生育酚","α-維生素E當量(α-TE)","α-胡蘿蔔素","β-生育酚","β-胡蘿蔔素","γ-生育酚","δ-生育酚","磷","視網醇","視網醇當量(RE)","維生素A總量(IU)","維生素B1","維生素B12","維生素B2","維生素B6","維生素C","維生素D2","維生素D3","維生素D總量(IU)","維生素D總量(ug)","維生素E總量","維生素K1","維生素K2(MK-4)","維生素K2(MK-7)","菸鹼素","葉酸","鈉","鈣","鉀","銅","鋅","錳","鎂","鐵"
"水果類","樣品基本資料","D2100201","肯特芒果","檬果,檨仔,菴羅果","Mango","生鮮,西洋種,去皮及心,混合均勻打碎",22.2,0.97,0.98,0,0.03,341,0,0,12,0,57,568,0.11,0,0.04,0.17,17.5,0,0,0,0,1,0,0,0,0.5,0,17,6,140,0,0.3,0,11,0.2
"魚貝類","樣品基本資料","J0416301","犬牙南極魚切片","南極鱈,美露鱈,黑狗鱈,智利海鱸(圓鱈)","Antarctic toothfish或Patagonian toothfish","生,去皮及骨刺,混合均勻打碎",19.9,3.78,3.79,0,0.01,0,0.05,0,133,1292,1292,4306,0.03,0.34,0.04,0.06,0.5,0,0,0,0,3.84,0,0,0,2.61,8,79,5,249,0,0.5,0,19,0
"水果類","樣品基本資料","D2800102","甜蜜桃","毛桃,白桃","Peach","生鮮,水蜜桃,去籽,混合均勻打碎",11.7,0.72,0.73,0,0,10,0.01,0,20,0,2,17,0.01,0,0.04,0.03,6.6,0,0,0,0,0.74,0,0,0,0.16,5.7,0,5,224,0.001,0.2,0,8,0.3
"水果類","樣品基本資料","D1701001","金香葡萄(含皮)","蒲桃,蒲萄,草龍珠,蒲陶,葡桃","Grape","生鮮,無子種,綠皮,含皮,混合均勻打碎",NA,0.09,0.18,0,0.05,4,0.61,0.05,26,0,1,6,0.05,0,0.02,0.09,4.1,0,0,0,0,0.8,0,0,0,0.13,0,0,7,205,0,0.1,0,6,0.4
"魚貝類","樣品基本資料","J0413801","白帶魚","白魚,裙帶,肥帶,油帶,天竺帶魚,白帶魚,黃稜油帶(澎湖)","Silverfish; Ribbon fish; Common hairtail; Cutlassfish; Atlantic cutlassfish; Cutlass fish; Australian hairtail; Hairtail; Largehead hairtail; Largeheaded ribbonfish; Hair tail","生,去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎",45.4,0.35,0.35,0,0,0,0,0,188,23,23,77,0.02,1.33,0.07,0.03,0.5,0,27.97,1118.8,27.97,0.35,0,0,0,2.5,0,54,5,291,0,0.4,0,16,0.2
"調味料及香辛料類","樣品基本資料","P1004601","麻婆醬","","","混合均勻(豆瓣,味噌,辣椒,薑,澱粉,香油,糖等)",NA,2.04,2.31,59,0,329,2.49,0.71,115,0,60,598,0.08,0,0.06,0.78,0,0,0,0,0,5.24,0,0,0,0.6,44.3,1753,9,167,0,0.3,0,28,6.3
"堅果及種子類","樣品基本資料","C0405101","生核桃","","Walnut: raw","生,混合均勻打碎",58.5,0.97,2.92,0,0.08,11,18.87,0.8,440,0,2,19,0.24,0,0.1,0.37,2.1,0,0,0,0,20.72,0,0,0,1.62,70.1,5,99,453,0,3,0,173,2.7
"調味料及香辛料類","樣品基本資料","P1301001","洋蔥麵包醬","","","麵包醬,混合均勻(洋蔥,植物油,蛋,奶粉,澱粉,鹽,草漿,香草,檸檬酸等)",NA,3.42,3.89,0,0,0,4.68,0.21,34,0,0,0,0.03,0.46,0,0.06,0,0,0,0,0,8.31,0,0,0,0.2,15.7,535,13,128,0,0.1,0,9,1.3
"調味料及香辛料類","樣品基本資料","P0600401","薏仁醋","","","白醋,混合均勻",NA,0,0,0,0,0,0,0,17,0,0,0,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0.07,3.7,183,2,19,0,0.1,0,11,0.4
"調味料及香辛料類","樣品基本資料","P0500501","素食高湯","","","混合均勻(香菇抽出物,水,植物蛋白等)",NA,0.01,0.01,0,0,0,0.01,0.01,20,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.03,0,0,0,0.09,0,1286,18,59,0,0,0,2,1.2
"調味料及香辛料類","樣品基本資料","P1100201","無蛋沙拉醬","","","混合均勻(植物油,大豆卵磷脂等)",NA,8.32,10.61,0,0.75,57,17.61,4.97,12,0,9,94,0,0.26,0.02,0,0,0,0,0,0,31.65,0,0,0,2.27,3.9,549,4,9,0,0.1,0,2,0
"菇類","樣品基本資料","G0800101","香菇(大)","冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈","Mushroom; Champignon; Shiitake","生鮮,混合均勻打碎",0,0,0,0,0,0,0,0,75,0,0,0,0.01,0,0.24,0.17,0.4,0,0,0,0,0,0,0,0,3.05,45.4,2,3,243,0,1,0,14,0.3
"菇類","樣品基本資料","G0810101","乾香菇","冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈","Mushroom: dry; Champignon: dry; Shiitake: dry","生,乾貨,混合均勻打碎",0,0.03,0.03,0,0,0,0,0,555,0,0,0,0.96,0.94,2.85,1.41,6.7,0,0,0,0,0.03,0,0,0,26.03,333.9,15,84,1843,0.49,6.3,0,143,4.2
"調味料及香辛料類","樣品基本資料","P0101601","荳蔻粉","","Nutmeg powder","混合均勻",NA,4649.61,4649.62,0,0,0,0,0.28,185,0,0,0,0.09,0,0.17,0.23,0,0,0,0,0,4649.89,0,0,0,1,36.5,15,157,584,0,1.7,0,155,4.7
"調味料及香辛料類","樣品基本資料","P0500101","高湯塊(排骨)","","","混合均勻打碎(植物油,澱粉,鹽,調味料,豚骨粉,濃縮高湯,洋蔥粉等",NA,2.91,3.13,0,0.13,0,1.47,0.21,120,0,0,0,1.5,0,0.14,0.09,5.4,0,0,0,0,4.71,0,0,0,0.34,34,14158,120,84,0,0.6,0,7,0.5
"菇類","樣品基本資料","G1400301","珊瑚菇","金頂鮑魚菇,金頂蘑,榆黃蘑,榆(黃)蘑,黃金菇,玉皇(米)菇,粗口黃,楊柳菌,黃樹窩(金頂側耳)","","生鮮,去菌柄基部,數朵混合均勻打碎",6.9,0,0,0,0,0,0,0,133,0,0,0,0.13,0.2,0.44,0.2,0,0,0,0,0,0,0,0,0,5.97,137.7,0,3,328,0,1.5,0,22,1.4
"穀物類","樣品基本資料","A0352601","蚵仔麵線","","Noodle string; Wheat flour string","生,混合均勻打碎(麵粉,鹽等)",NA,0.06,0.1,0,0.04,0,0.15,0,170,0,0,0,0.06,0,0.03,0.09,0,0,0,0,0,0.25,0,0,0,1.37,29.4,2813,19,121,0,1.1,0,40,1.7
"調味料及香辛料類","樣品基本資料","P1000901","麻醬","芝麻醬","Sesame sauce","混合均勻",NA,1.9,4.18,0,1.54,15,14.61,1.67,566,0,3,26,0.11,0,0.24,0.58,3.2,0,0,0,0,19.72,0,0,0,3.94,160.9,4,794,529,0,4.3,0,287,20.4
"糕餅點心類","樣品基本資料","Q0100401","冷藏廣式蘿蔔糕","菜頭粿","Turnip cake; Radish cake","冷藏真空包裝,混合均勻打碎(米,蘿蔔,豬肉,蝦米,香菇,油,蔥,火腿等)",NA,0.09,0.1,0,0.01,0,0.15,0.01,28,2,2,7,0.02,0.08,0.01,0.06,1.2,0,0,0,0,0.25,0,0,0,0.49,9.8,251,6,31,0,0.3,0,7,0.4
"糕餅點心類","樣品基本資料","Q0100301","冷藏廣式芋頭粿","","Taro cake","冷藏真空包裝,混合均勻打碎(米,芋頭,豬肉,蝦米等)",NA,0.11,0.12,0,0.01,0,0.09,0.05,98,1,1,3,0.02,0.01,0.01,0.01,0,0,0,0,0,0.26,0,0,0,0.33,5.7,242,5,46,0,0.5,0,8,0.4
"豆類","樣品基本資料","H1120101","黃豆粉","大豆","Soy bean powder","生,混合均勻",NA,1.27,2.73,0,0.81,0,9.1,4.68,563,0,0,0,0.86,0,0.12,0.52,0,0,0,0,0,15.86,0,0,0,1.18,348,2,144,1647,0,4.5,0,206,3.7
"加工調理食品及其他類","樣品基本資料","R4700202","五香豆干","","Soy bean curd cake: spiced; Spiced fried beancurd;","混合均勻打碎(黃豆,鹽,調味料等)",0,0.56,1.26,0,0.24,0,5.15,2.03,291,0,0,0,0.08,0,0.1,0.1,0,0,0,0,0,7.98,0,0,0,0.36,22,445,273,251,0,2.2,0,67,5.5
"魚貝類","樣品基本資料","J0404701","條紋狼鱸","","Striped bass","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎(購買時已去鱗及內臟)",52,1.69,1.72,0,0.04,0,0.14,0.02,153,4,4,12,0.08,3.2,0.09,0.22,1.4,0,0,0,0,1.89,0,0,0,3.96,8.3,69,17,295,0,0.9,0,24,1.3
"魚貝類","樣品基本資料","J0412001","紅色吳郭魚","尼羅魚;台灣鯛,紅色尼羅魚,姬鯛,紅吳郭魚,濱鯛","Red mouthbreeder; Red tilapia","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎(購買時已去鱗及內臟)",60.7,0.59,0.62,0,0.03,0,0.17,0,172,7,7,23,0.04,1.5,0.02,0.31,1.2,0,0,0,0,0.79,0,0,0,3.1,10,68,10,310,0,0.6,0,26,0
"穀物類","樣品基本資料","A0500101","秈米(台中在來2號)","在來米,長米","Long grain rice","生,白秈米,混合均勻磨碎",NA,0.09,0.11,0,0.01,0,0.1,0.02,77,0,0,0,0.13,0,0.03,0.02,0,0,0,0,0,0.22,0,0,0,2.1,12,2,5,114,0,1.3,0,40,0.3
"水果類","樣品基本資料","D1500205","無子芭樂","番石榴,芭樂,拔仔,扒仔,朳仔,那拔仔,藍拔","Guava: seedless","生鮮,圓形,黃綠皮白肉,去蒂及籽,混合均勻打碎",7.1,0.11,0.13,0,0.03,34,0,0,12,0,6,57,0.03,0,0.02,0.05,93.1,0,0,0,0,0.14,0,0,0,0.52,0,0,4,115,0,3.5,0,5,0
"水果類","樣品基本資料","D1500203","珍珠芭樂","番石榴,芭樂,拔仔,扒仔,朳仔,那拔仔,藍拔","Guava","生鮮,梨形,白黃肉,去蒂及籽,混合均勻打碎",21.1,0.29,0.29,0,0,17,0,0,14,0,3,28,0.03,0,0.04,0.07,193.7,0,0,0,0,0.29,0,0,0,0.81,55.6,0,7,176,0,0.2,0,6,0.1
"魚貝類","樣品基本資料","J0402403","大西洋鮭魚切片(尾段)","","Atlantic salmon","生,去皮及骨刺,混合均勻打碎",17.1,3.06,3.1,0,0.03,0,0.18,0.01,236,16,16,54,0.3,4.83,0.13,0.65,3.6,0,0,0,0,3.28,0,0,0,5.66,10.5,61,7,353,0,0.6,0,28,0
"魚貝類","樣品基本資料","J0402404","大西洋鮭魚生魚片","","Atlantic salmon","生,混合均勻打碎",NA,2.29,2.33,0,0.02,0,0.27,0,248,17,17,57,0.24,2.84,0.13,0.79,2.8,0,0,0,0,2.58,0,0,0,5.85,9,36,6,393,0,0.8,0,27,0
"水果類","樣品基本資料","D3930101","紅甘蔗汁","甘蔗","Sugarcane","生鮮,現榨原汁,混合均勻",NA,0.07,0.07,0,0,14,0,0,11,0,2,24,0.02,0,0.01,0.13,1.3,0,0,0,0,0.07,0,0,0,0,8,0,23,22,0.025,0.5,0,17,0.6
"水果類","樣品基本資料","D2800204","鶯哥桃","桃子,脆桃,甜桃","Peach","生鮮,脆桃,去籽,混合均勻打碎",10.8,1.12,1.12,0,0.01,0,0.01,0.01,23,0,0,0,0.01,0,0.03,0.02,7.4,0,0,0,0,1.15,0,0,0,0.11,0,0,6,249,0,0.5,0,8,0.6
"水果類","樣品基本資料","D2800101","水蜜桃","毛桃,白桃","Peach","生鮮,水蜜桃,去籽,混合均勻打碎(white peach #4401)",6.4,0.67,0.73,0,0.03,147,0.4,0.11,22,0,24,244,0.01,0,0.03,0.03,6.6,0,0,0,0,1.2,0,0,0,0.77,0,3,5,187,0,0.4,0,9,0.2
"魚貝類","樣品基本資料","J0411101","鮸","鮸仔,敏魚,米魚,水鮸仔","Mi-iuy croaker","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",57.3,0.39,0.39,0,0,0,0,0,219,4,4,12,0.09,0.26,0.1,0.35,0.7,0,0,0,0,0.39,0,0,0,3.98,5.7,52,11,406,0,0.7,0,31,0
"魚貝類","樣品基本資料","J3500301","阿根廷魷","阿根廷滑柔魚","Argentine shortfin squid","生,去外皮及骨刺,混合均勻打碎",27.3,1.42,1.42,0,0,0,0,0,102,122,122,408,0.03,5.53,0.11,0.08,0.1,0,0,0,0,1.42,0,0,0,0.25,13.4,57,14,8,0,1.9,0,12,0.8
"水果類","樣品基本資料","D3700101","青皮葡萄柚","西柚,朱欒","Grapefruit; Pomelo","生鮮,青皮白肉,去皮,子及內膜,混合均勻打碎",33.1,0.38,0.38,0,0,0,0,0,14,0,0,0,0.02,0,0.05,0.02,28.5,0,0,0,0,0.38,0,0,0,0.29,0,1,15,141,0,0,0,8,0
"水果類","樣品基本資料","D2100205","聖心芒果","檬果,檨仔,菴羅果","Mango","生鮮,西洋種,去皮及心,混合均勻打碎",23.7,1.54,1.54,0,0,494,0,0,8,0,82,823,0.04,0,0.07,0.11,38.9,0,0,0,0,1.54,0,0,0,0.57,0,0,12,112,0,0,0,7,0
"魚貝類","樣品基本資料","J2100802","日本對蝦(小)","斑節蝦,雷公蝦,明蝦,九節蝦","Japanese king prawn; Japanese tiger prawn; Kuruma prawn; Striped prawn","生,去殼,去頭尾,混合均勻打碎",34.4,1.83,1.83,0,0,34,0,0,285,0,6,56,0.01,2.05,0.12,0.29,0,0,0,0,0,1.83,0,0,0,4.55,14.9,319,92,326,0,2.4,0,60,0
"加工調理食品及其他類","樣品基本資料","R6800101","魚肉脯","","Stir fried shredded fish floss","熟,魚製品,加鹽水煮,混合均勻打碎",0,0.29,0.29,0,0,0,0,0,611,62,62,207,0.01,12.7,0.28,0.04,0,0,0,0,0,0.29,0,0,0,3.2,0,1482,966,132,0,3.2,0,126,3.5
"水果類","樣品基本資料","D0700101","紅龍果(白肉)","火龍果,仙蜜果","Pitaya; Dragon fruit","生鮮,白肉種,去皮,混合均勻打碎",22.6,0.21,0.22,0,0,1,0.05,0,22,0,0,1,0.02,0,0.04,0.05,5.3,0,0,0,0,0.26,0,0,0,0.13,15.5,0,4,226,0.027,0.4,0,28,0.4
"水果類","樣品基本資料","D0700201","紅龍果(紅肉)","火龍果,仙蜜果","Pitaya; Dragon fruit","生鮮,紅肉種,去皮,混合均勻打碎",18.9,0.26,0.26,0,0,0,0.01,0,28,0,0,0,0.03,0,0.04,0.02,6.3,0,0,0,0,0.27,0,0,0,0.11,12.3,0,9,219,0.058,0.5,0,24,0.8
"加工調理食品及其他類","樣品基本資料","R5100401","切片火腿(雞肉)","三明治火腿,火腿片","Chicken: sandwich meat","熟,雞肉火腿,混合均勻打碎(雞肉,鹽,糖,胡椒等)",0,0.13,0.14,0,0,0,0.12,0.06,264,0,0,0,0.08,0.64,0.14,0.15,0,0,0,0,0,0.31,0,0,0,2.54,26.4,1040,22,238,0,1.7,0,16,1.1
"肉類","樣品基本資料","I0322001","豬空腸","粉腸","Pork jejunum","生,豬臟器,混合均勻打碎",NA,0.17,0.17,0,0,0,0.02,0,150,20,20,67,0.1,1.14,0.3,0.07,19.1,0,0,0,0,0.19,0,0,0,2.96,14.5,84,7,180,0,1.5,0,11,1.4
"肉類","樣品基本資料","I0321201","熟豬肚","豬胃","Pork: stomach, cooked","熟,豬臟器,水煮,混合均勻打碎(豬肚)",NA,0.16,0.16,0,0,0,0.02,0,87,0,0,0,0.03,0.41,0.15,0.02,0,0,0,0,0,0.18,0,0,0,1.05,7.1,30,17,28,0,1.8,0,12,1.8
"肉類","樣品基本資料","I0502101","櫻桃鴨胸肉片","","","生,鴨胸部位,去骨,混合均勻打碎",NA,0.09,0.09,0,0,0,0.02,0,177,22,22,72,0.23,2.2,0.36,0.37,1.1,0,0,0,0,0.11,0,0,0,5.58,9,37,5,269,0,1.2,0,21,3
"魚貝類","樣品基本資料","J2200701","鬚赤蝦仁","火燒蝦仁","","生,混合均勻打碎",NA,1.42,1.43,0,0.02,0,0.02,0,163,4,4,15,0.02,2.7,0.06,0.07,0,0,0,0,0,1.46,0,0,0,1.58,13.5,279,39,150,0,2,0,37,0.9
"水果類","樣品基本資料","D2000201","美濃瓜","甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜","Melon; Honeydew melon;","生鮮,東洋系脆瓜種,扁圓形,白綠皮肉系,去皮及籽,混合均勻打碎",31.4,0.06,0.08,0,0.01,16,0.13,0.01,19,0,3,27,0.04,0,0.03,0.08,22.9,0,0,0,0,0.2,0,0,0,0.7,14.3,8,10,338,0.001,0.3,0,12,0.3
"肉類","樣品基本資料","I0100301","沙朗牛排","里肌,大里肌,肋眼,修清肋眼肉;修清肉眼","Ribeye roll, lip-on; Cube roll","生,牛肋脊部位,冷凍產品,混合均勻打碎",NA,0.26,0.26,0,0,0,0,0,191,5,5,18,0.07,1.4,0.14,0.36,0.6,0,0,0,0,0.27,0,0,0,4.64,10.2,46,7,370,0,4.4,0,20,2.5
"肉類","樣品基本資料","I0106201","腓力牛排","菲力牛排,牛柳,小里肌,腰內肉,去脂腰里肌肉,全修清去膜腰裡脊肉","Filet mignon; Tenderloin; Tenderloin, side muscle off, skinned","生,牛前腰脊部位,冷凍產品,混合均勻打碎",NA,0.44,0.44,0,0,0,0.01,0.01,161,4,4,14,0.11,3.15,0.21,0.81,1.3,0,0,0,0,0.46,0,0,0,4.26,8.3,47,5,366,0,3.8,0,22,3.4
"魚貝類","樣品基本資料","J0408301","赤鰭笛鯛","紅雞仔,赤海雞,赤筆仔(臺東),赤筆,赤海,紅魚,紅鰭赤海/鐵汕婆(澎湖)","Small-mouthed nannygai; Saddle-tailed sea-perch; Pink snapper; Red bream; Red jew; Redfish; Red snapper; Scarlet snapper; Black; Crimson snapper; High brow sea perch","生,去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎",55,0.39,0.39,0,0,0,0,0,239,2,2,7,0.02,0.75,0.03,0.31,0,0,0,0,0,0.39,0,0,0,4.2,0,91,12,404,0,0.4,0,32,0.4
"調味料及香辛料類","樣品基本資料","P1300501","柚子果醬","","","混合均勻均質",0,0.62,0.63,0,0,0,0.1,0,7,0,0,0,0.04,0,0,0,47.4,0,0,0,0,0.72,8.16,0,0,0,0,81,15,102,0.011,0,0.059,5,0
"加工調理食品及其他類","樣品基本資料","R5300401","雞肉香腸(大)","","Chicken: sausage, large","生,雞肉香腸,混合均勻打碎(雞肉,鹽,糖,油脂,調味料,食品添加物等)",NA,0.34,0.35,0,0,0,0.06,0,294,2,2,6,0.37,0.68,0.17,0.5,56.5,0,0,0,0,0.4,0,0,0,26.61,13.8,914,16,323,0,1.7,0,23,1.3
"肉類","樣品基本資料","I0420601","雞胸骨湯","雞高湯","Chicken broth","熟,560g雞胸骨以1L沸水燙洗2分鐘,再以2L沸水小火熬煮4小時,最後定量至2L.",NA,0,0,0,0,0,0,0,14,1,1,4,0.01,0.26,0.03,0.04,0,0,0,0,0,0,0,0,0,1.15,4.2,24,2,46,0,0.1,0,1,0.1
"蔬菜類","樣品平均值","E17002","綠蘆筍平均值","野天門冬,松葉土當歸,石刁柏,龍鬚菜","Asparagus, Spargel, Asperge, Gardon asparagus","生鮮,去皮及粗莖,數支混合均勻打碎",22.4,0.45,0.47,0,0.02,340,0.07,0.02,52,0,57,567,0.1,0,0.11,0.09,12.8,0,0,0,0,0.56,31.54,0,0,1.06,31,4,79,264,0.067,0.8,0.149,15,1.1
"魚貝類","樣品基本資料","J0400602","魩仔魚(加工,小)","魩仔","Anchovy","熟,混合均勻打碎",NA,1.79,1.79,0,0,0,0.01,0,613,137,137,456,0.01,3.2,0.05,0.05,0,0,0,0,0,1.8,0,0,0,7.33,42.6,2830,458,532,0,2.6,0,158,1
"魚貝類","樣品基本資料","J0400902","日本銀帶鯡魚干(丁香魚脯)","針嘴鰮,丁香魚,魩仔,丁香,鱙仔,灰海荷鰮","Silver stripe round herring","熟,乾貨,混合均勻打碎",0,0.53,0.53,0,0,0,0,0,1606,0,0,0,0.1,18.16,0.17,0.35,0,0,114.5,4579.84,114.5,0.53,0,0,0,15.03,66.4,1276,1723,856,0,5.9,0,183,5.7
"魚貝類","樣品基本資料","J0700301","鮸魚卵(加工)","","Brown croaker roe","熟,混合均勻打碎",NA,0.59,0.59,0,0,0,0,0,344,26,26,86,0.11,8.91,0.32,0.25,0,0,0,0,0,0.59,0,0,0,0.97,34.8,150,41,221,0,2.9,0,13,1.5
"魚貝類","樣品基本資料","J3500401","泡魷魚","","Squid","生,混合均勻打碎",NA,1.8,1.8,0,0,0,0.03,0,134,4,4,14,0.01,1.86,0.02,0,0,0,0,0,0,1.83,0,0,0,0.42,13.3,239,31,40,0,0.9,0,34,0
"澱粉類","樣品基本資料","B0500102","芋頭(2021年取樣)","芋頭,芋艿,芋乃,芋仔,青芋,土芝","Taro","生鮮，去皮混合均質",18.7,0.97,0.98,0,0.02,23,0,0,49,0,4,38,0.1,0,0,0,7.5,0,0,0,0,1,2.43,0,0,1,17.4,0,20,326,0.185,1.3,0.292,29,0.5
"魚貝類","樣品基本資料","J0412003","台灣鯛魚片(生)(2021年)","","Tilapia","生,冷凍包裝,混合均勻打碎(冷凍鮮魚片)",0,0.67,0.71,0,0.02,0,0.27,0.01,127,3,3,12,0.03,1.56,0,0.16,0,0,0,0,0,0.97,0,0,0,2.71,10.8,31,7,270,0.02,0.6,0.017,25,0
"調味料及香辛料類","樣品基本資料","P1400102","液體奶精(2021年)","奶精,奶油球","Liquid creamer","混合均質(精緻油(椰子油、棕櫚油)、奶油、奶粉、砂糖等)",0,2.21,2.33,0,0.14,0,0.44,0.03,84,0,0,0,0,0,0.06,0,0,0,0,0,0,2.83,0,0,0,0,3.9,122,15,70,0.006,0,0.004,3,0
"魚貝類","樣品基本資料","J0410101","黑棘鯛(去皮)","黑鯛,烏格,黑格,厚唇,烏毛,烏鱠,黑頰(澎湖)","Black sea bream; Blackhead seabream; Black porgy","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",59.6,0.82,0.82,0,0,0,0.04,0.01,221,11,11,37,0.09,4.66,0.15,0.26,2.2,0,0,0,0,0.87,0,0,0,4.02,5,46,9,466,0,0.9,0,25,1
"魚貝類","樣品基本資料","J0402501","麥奇鈎吻鮭(去皮)","鱒魚,虹鱒,麥奇鉤吻鱒","Rainbow trout","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",50.6,2.48,2.49,0,0.01,0,0.05,0.02,176,54,54,181,0.15,3.51,0.07,0.41,1.7,0,0,0,0,2.56,0,0,0,5.81,8.3,48,7,405,0,1.3,0,20,0.9
"水果類","樣品基本資料","D2000403","秋香洋香瓜","甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜,洋香瓜,網仔瓜,哈蜜瓜","Melon; Honeydew melon;","生鮮,網紋洋香瓜種,球形,黃皮橙肉系,去皮及籽,混合均勻打碎",44.8,0.02,0.03,0,0.02,450,0.02,0,13,0,75,751,0.04,0,0.03,0.11,14.6,0,0,0,0,0.06,0,0,0,0.32,0,16,10,232,0,0.3,0,16,0.3
"水果類","樣品基本資料","D2000202","黃香瓜","甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜","Melon; Honeydew melon;","生鮮,東洋系脆瓜種,橢圓形,黃皮白肉系,去皮及籽,混合均勻打碎",27.6,0,0,0,0,120,0,0,16,0,20,200,0.01,0,0.04,0.05,18,0,0,0,0,0,0,0,0,0.5,0,16,7,240,0,0.2,0,7,0.2
"魚貝類","樣品基本資料","J0410801","眼斑擬石首魚","紅鼓魚","Red drum","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎(購買時已去鱗及內臟)",53.2,0.22,0.23,0,0.01,0,0.02,0,193,2,2,7,0.47,1.66,0.1,0.39,0.5,0,0,0,0,0.25,0,0,0,4.1,7,71,13,428,0,0.6,0,27,0.8
"魚貝類","樣品基本資料","J0402401","大西洋鮭魚(台灣養殖)","","Atlantic salmon","生,去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",55.8,2.31,2.32,0,0,0,0.07,0.02,226,33,33,111,0.14,3.55,0.14,0.53,2.1,0,0,0,0,2.4,0,0,0,4.82,9.2,45,9,390,0,0.8,0,27,0
"水果類","樣品基本資料","D3800301","檸檬汁(黃皮)","","Lemon juice","生鮮,榨汁混合均勻",68,0.36,0.38,0,0.03,0,0,0,10,0,0,0,0.03,0,0.03,0.05,42.3,0,0,0,0,0.4,0,0,0,0.73,0,1,11,102,0,0.1,0,7,0
"水果類","樣品基本資料","D4130102","可可椰子汁(進口)","椰子汁,越王頭汁","Coconut juice; Coco palm juice; Coconut terr juice","生鮮,綠皮種,去蒂,倒出內部汁液混合均勻分裝",68.8,0,0,0,0,0,0,0,11,0,0,0,0.01,0,0.01,0.01,0.8,0,0,0,0,0,0,0,0,0.06,5.5,16,16,241,0.034,0.1,0,12,0
"水果類","樣品基本資料","D4130101","可可椰子汁(屏東)","椰子汁,越王頭汁","Coconut juice; Coco palm juice; Coconut terr juice","生鮮,綠皮種,去蒂,倒出內部汁液混合均勻分裝",72.9,0,0,0,0,0,0,0,8,0,0,0,0,0,0.01,0,1.1,0,0,0,0,0,0,0,0,0.05,0,4,19,187,0,0.2,0,4,0
"豆類","樣品基本資料","H1200201","豌豆莢","荷仁(蓮/蘭)豆,花蓮豆,飛龍豆,青豆莢,胡(畢/宛/孫/丸/留)豆莢,戎菽","Pea; Garden pea","生鮮,去蒂頭,混合均勻打碎",8,0.17,0.19,115,0.02,134,0.09,0,55,0,32,320,0.14,0,0.11,0.08,42.5,0,0,0,0,0.28,0,0,0,0.89,39.9,4,49,118,0.013,0.7,0,26,1
"豆類","樣品基本資料","H1200101","豌豆仁","荷仁(蓮/蘭)豆仁,花蓮豆仁,飛龍豆仁,青豆,胡(畢/宛/孫/丸/留)豆,戎菽","Pea; Garden pea; Sweet pea","生鮮,混合均勻打碎",NA,0.05,0.19,95,0,73,1.4,0.04,147,0,20,200,0.21,0,0.1,0.14,8.6,0,0,0,0,1.49,0,0,0,1.29,0,3,39,372,0,1.4,0,50,2.1
"豆類","樣品基本資料","H1200501","冷凍豌豆仁","荷仁(蓮/蘭)豆仁,花蓮豆仁,飛龍豆仁,青豆,胡(畢/宛/孫/丸/留)豆,戎菽","Common peas: frozen; Edible podded pea: frozen","生,冷凍包裝,混合均勻打碎",NA,0.03,0.2,4,0.01,272,1.62,0.04,94,0,46,457,0.39,0,0.11,0.12,22.3,0,0,0,0,1.69,0,0,0,1.82,43.3,21,35,225,0.005,0.9,0,29,1.7
"穀物類","樣品基本資料","A0500901","胚芽秈米(台中秈10號)","","Germ rice; Rice with germ; Milled rice with embryo","生,混合均勻磨碎",NA,0.69,0.81,0,0.08,11,0.77,0.19,314,0,2,19,0.35,0,0.04,0.28,0,0,0,0,0,1.73,0,0,0,6.29,34.7,2,9,268,0,2.2,0,119,0.9
"肉類","樣品基本資料","I0322201","豬後腳","豬腳,豬蹄,長腳","Pork: feet, hind","生,豬腳,去骨,混合均勻打碎",45.1,0.11,0.12,0,0,0,0.08,0.01,114,5,5,17,0.1,0.19,0.1,0.49,0.2,0,0,0,0,0.2,0,0,0,3.14,0,69,7,191,0,3.9,0,13,0.6
"水果類","樣品基本資料","D1800101","紅寶石蓮霧","","Wax(Java) apple; Wax gambuor; Wax jumbo;Bell fruit","生鮮,粉紅色種,去蒂及籽,混合均勻打碎",9.6,0.17,0.18,0,0.03,10,0,0,8,0,2,16,0.04,0,0.01,0.08,7.6,0,0,0,0,0.2,0,0,0,0.03,0,2,2,83,0,0.3,0,5,0.1
