"食品分類","資料類別","整合編號","樣品名稱","俗名","樣品英文名稱","內容物描述","廢棄率","α-生育酚","α-維生素E當量(α-TE)","α-胡蘿蔔素","β-生育酚","β-胡蘿蔔素","γ-生育酚","δ-生育酚","磷","視網醇","視網醇當量(RE)","維生素A總量(IU)","維生素B1","維生素B12","維生素B2","維生素B6","維生素C","維生素D2","維生素D3","維生素D總量(IU)","維生素D總量(ug)","維生素E總量","維生素K1","維生素K2(MK-4)","維生素K2(MK-7)","菸鹼素","葉酸","鈉","鈣","鉀","銅","鋅","錳","鎂","鐵"
"澱粉類","樣品基本資料","B0500101","芋頭","芋頭,芋艿,芋乃,芋仔,青芋,土芝","Taro; Dasheen; Cocoyam; Eddoe","生鮮,去皮,混合均勻打碎",13.2,0,0,0,0,40,0,0,64,0,7,67,0.03,0,0.02,0.08,8.8,0,0,0,0,0,0,0,0,0.75,13.6,5,28,500,0,2.2,0,29,0.9
"穀物類","樣品基本資料","A0350101","水餃皮","","Dumpling skin","生,混合均勻打碎",NA,0.01,0.02,0,0.01,0,0.07,0,52,0,0,0,0.05,0,0.02,0.05,0,0,0,0,0,0.08,0,0,0,0.53,27,629,13,65,0,0.3,0,16,0.6
"堅果及種子類","樣品基本資料","C0500202","栗子仁(生)","","Chestnut: raw","生,混合均勻打碎",NA,0.04,0.67,0,0,100,6.23,0.04,90,0,17,167,0.24,0,0.14,0.38,28.5,0,0,0,0,6.32,0,0,0,1.09,7.1,2,25,463,0,0.7,0,60,1.1
"堅果及種子類","樣品基本資料","C1320101","亞麻仁籽粉","","Flex seed powder","熟,混合均勻",NA,0.16,1.37,0,0,24,12.02,0.24,593,0,4,39,0.01,0,0.18,0.28,0.3,0,0,0,0,12.42,0,0,0,3.28,47.5,16,328,798,1.561,5.3,2.026,377,6.7
"蔬菜類","樣品基本資料","E5000201","菠菜(葉)","菠菱菜,赤根菜,飛龍菜,角菜,波斯草,波斯菜,波菱菜","","生鮮,去蒂頭及莖,混合均勻打碎",59.7,3.5,3.52,0,0,4580,0.18,0,69,0,763,7633,0.13,0,0.27,0.23,28.8,0,0,0,0,3.68,0,0,0,0.46,232.7,74,192,363,0,0.8,0,141,3.7
"蔬菜類","樣品基本資料","E3201501","塔菇菜","烏塌菜,塌棵菜","","生鮮,塔菇菜,混合均勻打碎",NA,1.41,1.43,0,0,1673,0.24,0,54,0,279,2789,0.06,0,0.09,0.11,5.9,0,0,0,0,1.65,0,0,0,0.61,53.6,27,125,383,0,0.4,0,32,1.1
"水果類","樣品基本資料","D1900401","小玉西瓜","水瓜,寒瓜,夏瓜","Watermelon","生鮮,黃肉小瓜,去皮及籽,混合均勻打碎",39.5,0.03,0.04,0,0.01,1,0,0,9,0,0,2,0.02,0,0.03,0.04,6.7,0,0,0,0,0.04,0,0,0,0.05,0,2,5,94,0,0.2,0,12,0.3
"菇類","樣品基本資料","G1200401","玫瑰菇","紅側耳,桃紅平菇,紅平菇,粉紅菇","","生鮮,混合均勻打碎",NA,0,0,0,0,0,0,0,161,0,0,0,0.07,0.21,0.37,0.15,0,0,0,0,0,0,0,0,0,6.79,14.4,1,4,327,0,2.4,0,23,2.5
"魚貝類","樣品基本資料","J0600501","翻車魨魚皮","翻車魚,蜇魴,蜇魚,海蟲(澎湖),曼波(成功)","Ocean sunfish; Sun-fish; Sunfish; Headfish; Giant sunfish; Moonfish; Mola ocean sunfish","生,混合均勻打碎",NA,0.02,0.02,0,0,0,0,0,6,5,5,17,0.01,0.09,0,0.01,0.2,0,0,0,0,0.02,0,0,0,0,5.8,242,9,12,0,0,0,3,0
"魚貝類","樣品基本資料","J2500201","蛙形蟹","旭蟹,蝦姑頭,候貝切,紅面猴,海臭蟲,西姑麻","Crimson crab; Frog crab; Snanner crab","生,取可食部位,混合均勻打碎",72,1.36,1.36,0,0,0,0,0,119,1,1,2,0.03,3.64,0.04,0.21,5.5,0,0,0,0,1.36,0,0,0,3.29,7,343,178,303,0,1.6,0,74,0.9
"加工調理食品及其他類","樣品基本資料","R2500101","火腿蛋三明治","","","熟食,混合均勻打碎(土司,火腿片,蛋,小黃瓜等)",NA,1.38,1.97,0,0,7,5.62,0.87,139,27,29,103,0.13,0.33,0.21,0.04,9.3,0,0,0,0,7.88,17.99,5.03,0,1.07,63,426,33,144,0.089,1.2,0.282,22,1.5
"加工調理食品及其他類","樣品基本資料","R0300101","三角飯糰(肉鬆)","","","熟食,混合均勻打碎(米,肉鬆,海苔,美奶滋,芝麻,食品添加物等)",NA,50.25,50.59,0,0.07,102,2.85,0.6,41,0,17,172,0.02,0.97,0.05,0.02,1.5,0,0,0,0,53.76,64.69,0,0,0.19,21.9,224,12,74,0.135,0.5,0.324,9,0.3
"肉類","樣品基本資料","I0100201","牛肋條","腩條,條肉","Rib fingers; Intercostal meat","生,牛肋脊部位,冷凍產品,混合均勻打碎",NA,0.09,0.09,0,0,0,0.02,0,127,2,2,6,0.06,3.14,0.17,0.17,0.2,0,0,0,0,0.11,0,0,0,2.64,3.7,81,10,347,0,6.7,0,15,2.7
"糕餅點心類","樣品基本資料","Q2106101","羊羹","","","熟食,混合均勻打碎",NA,0.02,0.07,0,0,0,0.44,0.25,20,5,5,17,0,0,0,0.01,3.1,0,0,0,0,0.71,0,0,0,0.4,1,38,15,44,0,1.1,0,12,1.7
"加工調理食品及其他類","樣品基本資料","R2100101","炒板條","","","熟食,混合均勻打碎",NA,0.18,0.3,0,0.05,0,0.82,0.41,39,5,5,17,0.03,0,0.02,0.04,0,0,0,0,0,1.46,0,0,0,0.3,4,307,4,86,0,0.8,0,8,0.6
"穀物類","樣品基本資料","A0501002","胚芽粳米(台粳9號)","","Germ rice; Rice with germ; Milled rice with embryo","生,混合均勻磨碎",NA,0.72,0.8,0,0.03,2,0.56,0,148,0,0,3,0.25,0,0.05,0.12,0,0,0,0,0,1.31,0,0,0,2.75,28.4,2,8,107,0.009,1.7,0,47,0.5
"肉類","樣品基本資料","I0106101","去骨紐約克牛排","外條,西冷,去骨前腰脊肉","New York steak(cut); Steak ready strip loin; Boneless strip loin","生,牛前腰脊部位,冷凍產品,混合均勻打碎",0,0.24,0.24,0,0,0,0.01,0,199,2,2,8,0.08,1.43,0.12,0.4,1.2,0,0,0,0,0.25,0,0,0,4.66,8.4,49,6,411,0,4.5,0,20,2.3
"肉類","樣品基本資料","I0104201","牛修清前胸肉","修清牛腩,修清前胸腋肌","Pectoral meat; Brisket, nose-off","生,牛前胸部位,冷凍產品,混合均勻打碎",NA,10.25,10.25,0,0,0,0,0,175,0,0,0,0.08,2.14,0.15,0.65,0,0,0,0,0,10.25,0,0,0,5.18,14.6,45,5,463,0,4.4,0,22,2.2
"加工調理食品及其他類","樣品基本資料","R0200101","冷凍火腿炒飯","","Fried rice","冷凍包裝,混合均勻打碎(米,火腿,蔬菜等)",NA,0.47,0.74,0,0.1,0,1.99,0.84,62,69,69,230,0.05,0.06,0.07,0.01,4.5,0,0,0,0,3.4,0,0,0,0.6,0,220,23,57,0,0.5,0,9,0.4
